CARD,NUMBER OF PREVIOUS YEARS,HERO MODE,SQUARE 1: TITLE,SQUARE 1: AUTHOR,SQUARE 1: HARD MODE,SQUARE 1: SUBSTITUTION,SQUARE 2: TITLE,SQUARE 2: AUTHOR,SQUARE 2: HARD MODE,SQUARE 2: SUBSTITUTION,SQUARE 3: TITLE,SQUARE 3: AUTHOR,SQUARE 3: HARD MODE,SQUARE 3: SUBSTITUTION,SQUARE 4: TITLE,SQUARE 4: AUTHOR,SQUARE 4: HARD MODE,SQUARE 4: SUBSTITUTION,SQUARE 5: TITLE,SQUARE 5: AUTHOR,SQUARE 5: HARD MODE,SQUARE 5: SUBSTITUTION,SQUARE 6: TITLE,SQUARE 6: AUTHOR,SQUARE 6: HARD MODE,SQUARE 6: SUBSTITUTION,SQUARE 7: TITLE,SQUARE 7: AUTHOR,SQUARE 7: HARD MODE,SQUARE 7: SUBSTITUTION,SQUARE 8: TITLE,SQUARE 8: AUTHOR,SQUARE 8: HARD MODE,SQUARE 8: SUBSTITUTION,SQUARE 9: TITLE,SQUARE 9: AUTHOR,SQUARE 9: HARD MODE,SQUARE 9: SUBSTITUTION,SQUARE 10: TITLE,SQUARE 10: AUTHOR,SQUARE 10: HARD MODE,SQUARE 10: SUBSTITUTION,SQUARE 11: TITLE,SQUARE 11: AUTHOR,SQUARE 11: HARD MODE,SQUARE 11: SUBSTITUTION,SQUARE 12: TITLE,SQUARE 12: AUTHOR,SQUARE 12: HARD MODE,SQUARE 12: SUBSTITUTION,SQUARE 13: TITLE,SQUARE 13: AUTHOR,SQUARE 13: HARD MODE,SQUARE 13: SUBSTITUTION,SQUARE 14: TITLE,SQUARE 14: AUTHOR,SQUARE 14: HARD MODE,SQUARE 14: SUBSTITUTION,SQUARE 15: TITLE,SQUARE 15: AUTHOR,SQUARE 15: HARD MODE,SQUARE 15: SUBSTITUTION,SQUARE 16: TITLE,SQUARE 16: AUTHOR,SQUARE 16: HARD MODE,SQUARE 16: SUBSTITUTION,SQUARE 17: TITLE,SQUARE 17: AUTHOR,SQUARE 17: HARD MODE,SQUARE 17: SUBSTITUTION,SQUARE 18: TITLE,SQUARE 18: AUTHOR,SQUARE 18: HARD MODE,SQUARE 18: SUBSTITUTION,SQUARE 19: TITLE,SQUARE 19: AUTHOR,SQUARE 19: HARD MODE,SQUARE 19: SUBSTITUTION,SQUARE 20: TITLE,SQUARE 20: AUTHOR,SQUARE 20: HARD MODE,SQUARE 20: SUBSTITUTION,SQUARE 21: TITLE,SQUARE 21: AUTHOR,SQUARE 21: HARD MODE,SQUARE 21: SUBSTITUTION,SQUARE 22: TITLE OF COLLECTION,SQUARE 22: AUTHOR OF COLLECTION,SQUARE 22: HARD MODE,SQUARE 22: SUBSTITUTION,SQUARE 22A: SHORT STORY 1,SQUARE 22A: AUTHOR 1,SQUARE 22B: SHORT STORY 2,SQUARE 22B: AUTHOR 2,SQUARE 22C: SHORT STORY 3,SQUARE 22C: AUTHOR 3,SQUARE 22D: SHORT STORY 4,SQUARE 22D: AUTHOR 4,SQUARE 22E: SHORT STORY 5,SQUARE 22E: AUTHOR 5,SQUARE 23: TITLE,SQUARE 23: AUTHOR,SQUARE 23: HARD MODE,SQUARE 23: SUBSTITUTION,SQUARE 24: TITLE,SQUARE 24: AUTHOR,SQUARE 24: HARD MODE,SQUARE 24: SUBSTITUTION,SQUARE 25: TITLE,SQUARE 25: AUTHOR,SQUARE 25: HARD MODE,SQUARE 25: SUBSTITUTION,FAVORITE SQUARE,UNFAVORITE SQUARE
570,8,Yes,Children of Time,Adrian Tchaikovsky,,,Murder at Spindle Manor,Morgan Stang,,,Lastrock,Phil Tucker,Yes,,The Blacktongue Thief,Christopher Buehlman,,,Percy Jackson and the Lightning Thief,Rick Riordan,,,Vallista,Steven Brust,Yes,,Knight of Ghosts and Shadows,Mercedes Lackey,Yes,,Red Sister,Mark Lawrence,Yes,,Barnaby The Wanderer,Raymond St. Elmo,Yes,,Someone You Can Build a Nest In,John Wiswell,Yes,,"The Practice, the Horizon, and the Chain",Sofia Samatar,Yes,,Floating Hotel,Grace Curtis,,,How to Become the Dark Lord and Die Trying,Django Wexler,,,The Sparrow,Mary Doria Russell,Yes,,Servant of the Empire,"Raymond E. Feist, Janny Wurts",,,Into the Fire,Actus,Yes,,Shards of Honor,Lois McMaster Bujold,,,Saint of Bright Doors,Vajra Chandrasekera,,,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,Yes,,Revelation Space,Alastair Reynolds,,,Stargazy Pie,Victoria Goddard,,,Tales of the Gorgon,John Bierce,Yes,,,,,,,,,,,,Moonbound,Robin Sloan,Yes,,Thick as Thieves,Megan Whalen Turner,,,Dune,Frank Herbert,,,21. Set in a Small Town,8. Prologues and Epilogues
571,1,Yes,That Time I Got Drunk and Saved a Demon,Kimberly Lemming,Yes,,The Haunting of Hill House,Shirley Jackson,Yes,,Dungeon Crawler Carl,Matt Dinniman,Yes,,The Stardust Grail,Yume Kitasei,Yes,,The Measure,Nikki Erlick,Yes,,A Fellowship of Librarians & Dragons,J. Penner,Yes,,The Stray Spirit,R.K. Ashwick,Yes,,Celestial Monsters,Aiden Thomas,Yes,,The Bruising of Qilwa,Naseem Jamnia,Yes,,The Woods All Black,Lee Mandelo,Yes,,Bunny,Mona Awad,Yes,,Dracula,Bram Stoker,Yes,,Spin of Fate,A.A. Vora,Yes,,Iron Widow,Xiran Jay Zhao,Yes,,Assassin's Apprentice,Robin Hobb,Yes,,Legends & Lattes,Travis Baldree,Yes,,All Systems Red,Martha Wells,Yes,,Natural Beauty,Ling Ling Huang,Yes,,The Familiar,Leigh Bardugo,Yes,,Time Burrito,Aaron Frale,Yes,,Murder Road,Simone St. James,Yes,,Ghostroots,Pemi Aguda,Yes,,,,,,,,,,,,To a Darker Shore,Leanne Schwartz,Yes,,The Path of Daggers,Robert Jordan,Yes,,Godkiller,Hannah Kaner,Yes,,20. Judge A Book By Its Cover,2. Alliterative Title
572,2,Yes,Dragonsbane,Barbra Hambly,Yes,,The Haunting of Hill House,Shirley Jackson,Yes,,The Luminous Dead,Caitlin Starling,Yes,,The Palace Job,Patrick Weekes,Yes,,Kushiel's Chosen,Jacqueline Carey,Yes,,Song for the Basilisk,Patricia A. McKillip,Yes,,Sing the Four Quarters,Tanya Huff,Yes,,The Oleander Sword,Tasha Suri,Yes,,Empire of the Feast,Bendi Barrett,Yes,,Stormsong,C.L. Polk,Yes,,The Starless Sea,Erin Morgenstern,Yes,,Exordia,Seth Dickinson,Yes,,The Wings Upon Her Back,Samantha Mills,Yes,,Ninefox Gambit,Yoon Ha Lee,Yes,,Gardens of the Moon,Steven Erikson,Yes,,The Thousand Eyes,A.K. Larkwood,Yes,,The Red Scholar's Wake,Aliette de Bodard,Yes,,She Who Became the Sun,Shelley Parker-Chan,Yes,,Children of Time,Adrian Tchaikovsky,Yes,,The Necessity of Rain,Sarah Chorn,Yes,,Winter Tide,Ruthanna Emrys,Yes,,"Boys, Beasts & Men",Sam J. Miller,Yes,,,,,,,,,,,,The Tainted Cup,Robert Jackson Bennett,Yes,,Moreta: Dragonlady of Pern,Anne McCaffrey,Yes,,Godkiller,Hannah Kaner,Yes,,23. Eldritch Creatures,22. Five SFF Short Stories
573,1,,"Amulet: The Stonekeeper, The Witch Boy","‎Kazu Kibuishi, Molly Knox Ostertag",,,Wilderlore: The Accidental Apprentice,Amanda Foody,,,Murderbot: System Collapse,Martha Wells,,,Six of Crows,Leigh Bardugo,,,The Scum Villain's Self-Saving System,Mò Xiāng Tóng Xiù,,,"The Spiderwick Chronicles, Books 1-5","Tony DiTerlizzi, Holly Black",,,We Are the Song,Catherine Bakewell,,,The Dragonet Prophecy,Tui Sutherland,,,Dragonfired,J. Zachary Pike,,,Cinder,Marissa Meyer,,,Amari and the Night Brothers,B.B. Alston,,,Rise of the Mages,Scott Drakeford,,,Paper Dragons: The Fight for the Hidden Realm,Siobhan McDermott,,,Percy Jackson and the Sea of Monsters,Rick Riordan,,,Outcast of Redwall,Brian Jacques,,,Artemis Fowl,Eoin Colfer,,,Nimbus,Jan Eldredge,,Published in 2023 (2023),Made in Abyss Vol 11 & 12,Akihito Tsukushi,,,Dungeon Crawler Carl,Matt Dinniman,,,The Mossheart's Promise,Rebecca Mix,,,Inkheart,Cornelia Funke,,,Scary Stories for Young Foxes,Christian McKay Heidicker,Yes,,,,,,,,,,,,The Mirrorwood,Deva Fagan,,,Aru Shah and the End of Time,Roshani Chokshi,,,Promise of Blood,Brian McClellan,,,1. First in a Series,17. Space Opera
574,0,,Red Rising,Pierce Brown,,,Legends & Lattes,Travis Baldree,,,Carl's Doomsday Scenario,Matt Dinniman,Yes,,Starter Villain,John Scalzi,,,Small Town Horror,Ronald Malfi,,,The Birds,Daphne du Maurier,,,The Dance of Shadows,Rogba Payne,,,The Hero of Ages,Brandon Sanderson,Yes,,Burn the Plans,Tyler Jones,,,The House in the Cerulean Sea,T.J. Klune,Yes,,The Atlas Six,Olivie Blake,,,Shackled Fates,Thilda Kold Holdt,Yes,,Of Jade and Dragons,Amber Chen,Yes,,Winterset Hollow,Jonathan Edward Durham,Yes,,The Forgetting Room,Nick Bantok,,,The Return of the King,J.R.R. Tolkien,,,A Memory Called Empire,Arkady Martine,Yes,,Parable of the Talents,Octavia E. Butler,,,Malorie,Josh Malerman,Yes,,The Last Question,Isaac Asimov,Yes,,Pines,Blake Crouch,Yes,,No One Is Safe,Philip Fracassi,Yes,,,,,,,,,,,,John Dies at the End,John Pargin,Yes,,The Dragon Reborn,Robert Jordan,,,Bruises on a Butterfly,Chad Lutzke,,Young Adult SFF 2023,5. Dreams,25. Book Club or Readalong Book
575,0,,An Ember in the Ashes,Sabaa Tahir,Yes,,Red Rising,Pierce Brown,,,The Deep,Rivers Solomon,Yes,,The Adventures of Amina al-Sirafi,S.A. Chakraborty,,,The Spear Cuts Through Water,Simon Jimenez,,,Hummingbird Salamander,Jeff VanderMeer,,,The Baker and the Bard,Fern Haught,Yes,,Legendborn,Tracy Deonn,,,Reign & Ruin,J.D. Evans,,,Radiance,Grace Draven,,,The Will of the Many,James Islington,,,Age of Myth,Michael J. Sullivan,Yes,,The Ministry of Time,Kaliane Bradley,Yes,,The Last Cuentista,Donna B Higuera,Yes,,The Golden Compass,Philip Pullman,Yes,,Greenteeth,Molly O'Neil,Yes,,Leviathan Wakes,James S.A. Corey,,,Far Sector,N.K. Jemisin,,,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,Yes,,A Dowry of Blood,S.T. Gibson,,,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,Yes,,The Paper Menagerie,Ken Liu,Yes,,,,,,,,,,,,Alien Clay,Adrian Tchaikovsky,Yes,,Elantris,Brandon Sanderson,Yes,,Jade City,Fonda Lee,,,14. Character with a Disability,"16. Orcs, Trolls, and Goblins — Oh My!"
576,2,Yes,Storm Front,Jim Butcher,Yes,,The Lies of Locke Lamora,Scott Lynch,Yes,,Witch King,Martha Wells,,,Going Postal,Terry Pratchett,,,The Dallergut Dream Department Store,Lee Mi-ye,,,To Shape a Dragon's Breath,Moniquill Blackgoose,Yes,,Yigana,Guy Gavriel Kay,,,The Stranger Times,C.K. McDonald,Yes,,Greedwode,J. Tullos Hennig,,,The Song of Achilles,Madeline Miller,Yes,,Ninth House,Leigh Bardugo,,,The Atlas Six,Olivie Blake,Yes,,The Bridges of High Hill,Nghi Vo,,,Tress of the Emerald Sea,Brandon Sanderson,,,Juniper,Monica Furlong,,,The Witness for the Dead,Katherine Addison,,,The Warrior's Apprentice,Lois McMaster Bujold,Yes,,Even Though I Knew the End,C.L. Polk,,,Project Hail Mary,Andy Weir,Yes,,Nicked,M.T. Anderson,,,Charmed Life,Diana Wynne Jones,,,Sooner or Later Everything Falls Into the Sea,Sarah Pinsker,,,,,,,,,,,,,The Pattern of the World,J.T. Greathouse,Yes,,His Majesty's Dragon,Naomi Novik,,,Lud-in-the-Midst,Hope Mirrlees,,,24. Reference Materials,9. Self-Published or Indie Publisher
577,6,,Before the Coffee Gets Cold,Toshikazu Kawaguchi,Yes,,The 22 Murders of Madison May,Max Barry,Yes,,Our Wives Under the Sea,Julia Armfield,Yes,,The Sky on Fire,Jenn Lyons,Yes,,Jonathan Abernathy You Are Kind,Molly McGhee,Yes,,I'm Afraid You've Got Dragons,Peter S. Beagle,Yes,,The Bards of Bone Plain,Patricia A. McKillip,Yes,,Ariadne,Jennifer Saint,Yes,,A Woman of the Sword,Anna Smith Spark,Yes,,The Honey Witch,Sydney J. Shields,Yes,,The Scholar and the Last Faerie Door,H.G. Parry,,,Jade War,Fonda Lee,Yes,,The Afterlife of Mal Caldera,Nadi Reed Perez,Yes,,A Three Letter Name,Annie Lisenby,Yes,,Foreigner,C.J. Cherryh,Yes,,Unnatural Magic,C.M. Waggoner,Yes,,Space Opera,Catherynne M. Valente,Yes,,The Last Phi Hunter,Salinee Goldenberg,Yes,,"After the Fall, Before the Fall, During the Fall",Nancy Kress,Yes,,"If Found, Return to Hell",Em X. Liu,,,Starling House,Alix E. Harrow,Yes,,No One Will Come Back For Us: And Other Stories,Premee Mohamed,Yes,,,,,,,,,,,,Gods of the Wyrdwood,R.J. Barker,Yes,,The Will of the Many,James Islington,Yes,,The Spellshop,Sarah Beth Durst,Yes,,6. Entitled Animals,11. Dark Academia
578,5,,The Librarian of Crooked Lane,C.J. Archer,Yes,,Dusk or Dark or Dawn or Day,Seanan McGuire,Yes,,Daughter of the Merciful Deep,Leslye Penelope,,,Comeuppance Served Cold,Marion Deeds,Yes,,The Hanging City,Charlie N. Holmberg,Yes,,I'm Afraid You've Got Dragons,Peter S. Beagle,Yes,,Bloody Rose,Nicholas Eames,Yes,,The Good and the Green,Amy Yorke,,,The Pomegranate Gate,Ariel Kaplan,Yes,,The Magpie Lord,K.J. Charles,Yes,,A Study in Drowning,Ava Reid,Yes,,Barnaby the Wanderer,Raymond St. Elmo,Yes,,The Warm Hands of Ghosts,Katherine Arden,,,The Spear Cuts Through Water,Simon Jimenez,Yes,,Children of God,Mary Doria Russell,,,Legends & Lattes,Travis Baldree,Yes,,The Relentless Legion,J.S. Dewes,Yes,,Skin of the Sea,Natasha Bowen,Yes,,Noor,Nnedi Okorafor,Yes,,The Left-Handed Booksellers of London,Garth Nix,,,Starling House,Alix E. Harrow,Yes,,The Paper Menagerie and other stories,Ken Liu,Yes,,,,,,,,,,,,Sea of Shadows,Kelley Armstrong,Yes,,The Spare Man,Mary Robinette Kowal,Yes,,This is How You Lose the Time War,"Amal El-Mohtar, Max Gladstone",,,6. Entitled Animals,23. Eldritch Creatures
579,0,,Divine Rivals,Rebecca Ross,,,Blood Over Bright Haven,M.L. Wang,,,Wool,Hugh Howey,Yes,,Jade City,Fonda Lee,,,The Sandman (Volume 1),Neil Gaiman,,,Dragonflight,Anne McCaffrey,Yes,,The Lark and the Wren,Mercedes Lackey,Yes,,Two Twisted Crowns,Rachel Gillig,Yes,,A Rival Most Vial,R.K. Ashwick,,,House of Earth and Blood,Sarah J. Maas,,,The Will of the Many,James Islington,,,Station Eleven,Emily St. John Mandel,,,The Tainted Cup,Robert Jackson Bennett,,,Six of Crows,Leigh Bardugo,Yes,,Haroun and the Sea of Stories,Salman Rushdie,Yes,,Once Upon a Marigold,Jean Ferris,Yes,,Golden Son,Pierce Brown,,,The Three-Body Problem,Cixin Liu,,,Project Hail Mary,Andy Weir,Yes,,The Land of Milk and Honey,C Pam Zhang,,,The Spellshop,Sarah Beth Durst,,,The Tangleroot Palace,Marjorie M. Liu,Yes,,,,,,,,,,,,Deeplight,Frances Hardinge,Yes,,Babel,R.F. Kuang,,,Kushiel's Dart,Jacqueline Carey,,,3. Under the Surface,17. Space Opera
580,1,,Welcome to Fae Café,Jennifer Kropf,Yes,,The Adventures of Amina al-Sirafi,S.A. Chakraborty,Yes,,The Sun and the Star,"Mark Oshiro, Rick Riordan",Yes,,Druid's Gamble,M.D. Massey,Yes,,Shadows & Dreams,Alexis Hall,,,The Voyage of the Basilisk,Marie Brennan,Yes,,Dark Water Daughter,H.M. Long,,,Bride,Ali Hazelwood,Yes,,The Day Death Stopped,Rebecca Thorne,,,Assistant to the Villain,Hannah Nicole Maehrer,,,The Midnight Club,Natalie Naudus,Yes,,City of Ruin,Charissa Weaks,Yes,,The Spellshop,Sarah Beth Durst,,,Booked for Murder,R.J. Blain,Yes,,The Lark and the Wren,Mercedes Lackey,Yes,,Bookshops & Bonedust,Travis Baldree,Yes,,How Rory Thorne Destroyed the Multiverse,K. Eason,Yes,,That Time I Got Drunk and Saved a Demon,Kimberly Lemming,Yes,,A Wizard's Guide to Defensive Baking,T. Kingfisher,Yes,,Perilous Times,Thomas D. Lee,Yes,,The Ex Hex,Erin Sterling,Yes,,,,,,Gabriel-Ernest,Saki,The Cockatoucan or Great-Aunt Willoughby,E. Nesbit,Moveable Beast,Maria Dahvana Headley,The Flight of the Horse,Larry Niven,Prismatica,Samuel R. Delany,Greywaren,Maggie Stiefvater,Yes,,The Third Policeman,Flann O'Brien,Yes,,A Marvellous Light,Freya Marske,,,4. Criminals,11. Dark Academia
581,0,,1632,Eric Flint,Yes,,The Seer and the Sword,Victoria Hanley,,,Dungeon Crawler Carl,Matt Dinniman,Yes,,Best Served Cold,Joe Abercrombie,Yes,,The Stardust Grail,Time Kitasei,,,The bear and the Nightengale,Katherine Arden,Yes,,Divine Rivals,Rebecca Ross,,,Wind and Truth,Brandon Sanderson,Yes,,Montego,Brian McClellan,,,A fate inked in blood,Danielle L. Jensen,,,An education in malice,S.T. Gibson,Yes,,Floating Hotel,Grace Curtis,Yes,,The courting of Bristol Keats,Mary E Pearson,,,Fourth Wing,Rebecca Yarros,,,The Eye of the World,Robert Jordan,,,The goblin emperor,Sarah Monette,Yes,,Ocean’s Gidori,Elaine U Cho,Yes,,The Last One,Rachel Howzell Hall,,,The mercy of gods,James S.A. Corey,,,Immortal,Sue Lynn Tan,,,Which Witch?,Eva Ibbotson,Yes,,Threshold,Will Wight,,,,,,,,,,,,,The Butcher of the forest,Premee Mohamed,Yes,,The sky on fire,Jenn Lyons,,,A study in drowning,Ava Reid,,,"16. Orcs, Trolls, and Goblins — Oh My!",7. Bards
582,0,,A Fate Inked in Blood,Danielle L. Jensen,,,A Sorceress Comes to Call,T. Kingfisher,,,This Fatal Kiss,Alicia Jasinska,Yes,,Serpent & Dove,Shelby Mahurin,Yes,,Catching Fire,Suzanne Collins,Yes,,A Good Day To Be A Dog,Lee Hey,,,Crumbs,Danie Stirling,,,All That's Left in the World,Erik J. Brown,,,Wish Hunter,"Jordan Riley Swan, Hero Bowen",,,When the Moon Hatched,Sarah A. Parker,,,The Raven Boys,Maggie Stiefvater,Yes,,Elantris,Brandon Sanderson,,,The Book of Doors,Gareth Brown,Yes,,Some Kind of Happiness,Claire Legrand,Yes,,The Giver,Lois Lowry,Yes,,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,,,The Hitchhiker's Guide to the Galaxy,Douglas Adams,,,Daughter of the Moon Goddess,Sue Lynn Tan,Yes,,Project Hail Mary,Andy Weir,Yes,,House of Hollow,Krystal Sutherland,Yes,,The House in the Cerulean Sea,T.J. Klune,,,Tales of the Unusual,Sungdae Oh,Yes,,,,,,,,,,,,Circe,Madeline Miller,Yes,,The Archangel Sisters: Spring of Souls,N. B. Shira,Yes,,The Tainted Cup,Robert Jackson Bennett,,,2. Alliterative Title,21. Set in a Small Town
583,0,Yes,Empire of Silence,Christopher Ruocchio,Yes,,Hell for Hire,Rachel Aaron,,,,,,,Long Live Evil,Sarah Rees Brennan,,,Polaris,H.P. Lovecraft,,,Toll the Hounds,Steven Erikson,,,The Hidden Oracle,Rick Riordan,,,Wind and Truth,Brandon Sanderson,Yes,,The Dungeon Anarchist's Cookbook,Matt Dinniman,,,Throne of Glass,Sarah J. Maas,,,Blood Over Bright Haven,M.L. Wang,,,Of Darkness and Light,Ryan Cahill,Yes,,Empire of the Damned,Jay Kristoff,,,,,,,Heir to the Empire,Timothy Zahn,Yes,,Fae and Fare,Pirateaba,Yes,,Golden Son,Pierce Brown,,,Kavithri,Aman J. Bedi,Yes,,Demon,Rob J. Hayes,Yes,,Das Blut der Herzlosen,Lee Young-Do,,,The Haunted House on Hollow Hill,Derek Landy,Yes,,Threshold,Will Wight,Yes,,,,,,,,,,,,Gunmetal Gods,Zamil Akhtar,Yes,,The Fellowship of the Ring,J.R.R. Tolkien,Yes,,,,,,"16. Orcs, Trolls, and Goblins — Oh My!",8. Prologues and Epilogues
584,0,,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,,,Everything for Everyone,M.E. O'Brien and Emane Adelhadi,,,Throne of Jade,Naomi Novik,,,Creatures of Want & Ruin,Molly Tanzer,,,The Lathe of Heaven,Ursula K. Le Guin,,,The Werewolf of Paris,Guy Endore,Yes,,The Vampire Lestat,Anne Rice,,,The Lies of Locke Lamora,Scott Lynch,,,Take a Look at the Five and Ten,Connie Willis,Yes,,A Novel Love Story,Ashley Poston,,,Ninth House,Leigh Bardugo,Yes,,The Once & Future King,T.H. White,,,Graveyard Shift,M.L. Rio,,,Before the Coffee Gets Cold,Toshikazu Kawaguchi,,,Ship of Magic,Robin Hobb,,,Bookshops & Bonedust,Travis Baldree,Yes,,The Restaurant at the End of the Universe,Douglas Adams,,,Mama Day,Gloria Naylor,,,Eternal Life,Dara Horn,Yes,,Portalmania,Debbie Urbanski,,,Chocolat,Joanne M. Harris,Yes,,Best American Science Fiction and Fantasy 2024,Hugh Howey,Yes,,,,,,,,,,,,H.P. Lovecraft's The Shadow Over Innsmouth,Gou Tanabe,,,The Ladies of Grace Adieu,Susanna Clarke,Yes,,The Starless Sea,Erin Morgenstern,,,24. Reference Materials,20. Judge A Book By Its Cover
585,9,,The Witching Flour,Samantha Silver,Yes,,Rabid: The Savage Spirit of Seneca Rain,Ivy Asher and Raven Kennedy,Yes,,Whalefall,Daniel Kraus,Yes,,A Life of Shadows,Kristen Banet,Yes,,Feathers So Vicious,Liv Zander,Yes,,The [Not] Cursed Dragon,Colette Rhodes,Yes,,The Lark and the Wren,Mercedes Lackey,Yes,,Burn for Me,Ilona Andrews,Yes,,The Witch's Diary,Rebecca Brae,Yes,,The Price We Pay,Auryn Hadley,Yes,,Cruel Magic,Eva Chase,,,Jade Legacy,Fonda Lee,Yes,,This Wretched Valley,Jenny Kiefer,Yes,,Traitor Witch,Marie Mistry,Yes,,Phoenix,Steven Brust,Yes,,Forged by Magic,Jenna Wolfhart,Yes,,"The Galaxy, and the Ground Within",Becky Chambers,Yes,,The Teller of Small Fortunes,Julie Leong,Yes,,The Terror,Dan Simmons,Yes,,The Library of the Dead,T.L. Huchu,Yes,,Bait and Witch,Angela M. Sanders,Yes,,Books of Blood Vol. 1,Clive Barker,Yes,,,,,,,,,,,,Chasing the Moon,A. Lee Martinez,Yes,,The Crippled God,Steven Erikson,Yes,,Someone You Can Build a Nest In,John Wiswell,Yes,,7. Bards,23. Eldritch Creatures
586,1,,The Mountain Crown,Karin Lowachee,,,But Not Too Bold,Hache Pueyo,,,Lost Ark Dreaming,Suyi Davies Okungbowa,Yes,,Hammajang Luck,Makana Yamamoto,Yes,,Split Tooth,Tanya Tagaq,,,Dragon Rider,Taran Matharu,Yes,,Sisters of the Lost Nation,Nick Medina,,,The Last Tale of the Flower Bride,Roshani Chokshi,Yes,,The Bruising of Qilwa,Naseem Jamnia,Yes,,The Emperor and the Endless Palace,Justinian Huang,Yes,,Blood Over Bright Haven,M.L. Wang,,,To The Warm Horizon,Jinyoung Choi,Yes,,Midnight Rooms,Donyae Coles,Yes,,The Labyrinth's Archivist,Day Al-Mohamed,Yes,,The Membranes,Chi Ta-wei,,,The Orc Prince,Qua Hudson,Yes,,Ocean's Godori,Elaine U. Cho,Yes,,Jackal,Erin E. Adams,Yes,,Bitter Root (Volumes 1-3),"David F. Walker, Chuck Brown, Sanford Greene, Rico Renzi",,,Water Moon,Samantha Sotto Yambao,Yes,,Lone Women,Victor LaValle,Yes,,Never Whistle at Night,"Shane Hawk, Theodore C. Van Alst Jr.",Yes,,,,,,,,,,,,Hammers on Bone,Cassandra Khaw,,,Jade Legacy,Fonda Lee,Yes,,The Spear Cuts Through Water,Simon Jimenez,Yes,,3. Under the Surface,7. Bards
587,2,Yes,"No Gods, No Monsters",Cadwell Turnbull,,,A Short Stay in Hell,Steven L. Peck,,,River Mumma,Zalika Reid Benta,,,Big Machine,Victor LaValle,,,Helen & Troy's Epic Road Quest,A. Lee Martinez,,,Raven's Strike,Patricia Briggs,,,John the Balladeer,Manly Wade Wellman,,,The Dallergut Dream Department Store,Lee Mi-ye,Yes,,Sanctuary,Ilona Andrews,,,I'll Come Back for You,Charish Reid,,,Our Lady of Mysterious Ailments,T.L. Huchu,,,The Sun Down Motel,Simone St. James,,,,The Jinn Daughter,Yes,,Cursebreakers,Madeleine Nakamura,Yes,,Circus of the Damned,Laurell K. Hamilton,Yes,,Bookshops & Bonedust,Travis Baldree,Yes,,Space Opera,Catherynne M. Valente,Yes,,The Cemetery of Untold Stories,Julia Alvarez,,,After the Apocalypse,Maureen F. McHugh,,,Up Jumps the Devil,Michael Poore,Yes,,I Was a Teenage Slasher,Stephen Graham Jones,Yes,,Never Whistle at Night,"Shane Hawk, Theodore C. Van Alst Jr.",Yes,,,,,,,,,,,,Ring Shout,P. Djèlí Clark,,,Battle Hill Bolero,Daniel José Older,Yes,,Who Fears Death,Nnedi Okorafor,,,21. Set in a Small Town,20. Judge A Book By Its Cover
588,0,,The Bear and the Nightingale,Katherine Arden,,,Emily Wilde's Encyclopaedia of Faeries,Heather Fawcett,,,Percy Jackson and the Battle of the Labyrinth,Rick Riordan,,,A Tempest of Tea,Hafsah Faizal,Yes,,Everything Feels Like the End of the World,Else Fitzgerald,Yes,,The Book of Chameleons,Jose Eduardo Agualusa,,,Every Anxious Wave,Mo Daviau,,,A Whole New World,Liz Braswell,Yes,,The Heartbreak Bakery,A.R. Capetta,,,The Savage Dawn,Melissa Grey,,,A Deadly Education,Naomi Novik,,,Pedro Paramo,Juan Rulfo,Yes,,Apostles of Mercy,Lindsay Ellis,,,Iron Widow,Xiran Jay Zhao,Yes,,Men at Arms,Terry Pratchett,,,Unnatural Magic,C.M. Waggoner,Yes,,Children of Time,Adrian Tchaikovsky,,,Lunar New Year Love Story,Gene Luen Yang and Leuyen Pham,,,I Am the Dark that Answers When You Call,Jamison Shea,Yes,,"To Be Taught, If Fortunate",Becky Chambers,,,Elatsoe,Darcie Little Badger,Yes,,"Love Beyond Body, Space, and Time",Hope Nicholson,Yes,,,,,,,,,,,,The Stars Too Fondly,Emily Hamilton,Yes,,Six of Crows,Leigh Bardugo,Yes,,The Mountain in the Sea,Ray Nayler,Yes,,14. Character with a Disability,10. Romantasy
